modelo,rack,numero_serie,puerto_conexion,servicio,estado,u_pos,u_size
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
APIC-SERVER-M2,RACK 3A,FCH2207V0G1,Infraestructura del Sistema Gerencias de Control Y Subgerencia La Paz,,,16,
GABINETE CON 12 SMD,RACK 3A,MXSGA1100031,Infraestructura del Sistema Gerencias de Control Y Subgerencia La Paz,,,36-38,
PS1 (Fuente de Alimentación),RACK 3A,MXSFA1100031,,,,36-38,
PS2 (Fuente de Alimentación),RACK 3A,MXSFA1100038,,,,36-38,
SMD-1,RACK 3A,MXSTM1100137,,,,36-38,
SMD-2,RACK 3A,MXSTM1100110,,,,36-38,
SMD-3,RACK 3A,MXSTM1100113,,,,36-38,
SMD-4,RACK 3A,MXSTM1100144,,,,36-38,
SMD-5,RACK 3A,MXSTM1100250,,,,36-38,
SMD-6,RACK 3A,MXSTM1100164,,,,36-38,
SMD-7,RACK 3A,MXSTM1100259,,,,36-38,
SMD-8,RACK 3A,MXSTM1100050,,,,36-38,
SMD-9,RACK 3A,MXSTM1100149,,,,36-38,
SMD-10,RACK 3A,MXSTM1100220,,,,36-38,
SMD-11,RACK 3A,MXSTM1100074,,,,36-38,
SMD-12,RACK 3A,MXSTM1100104,,,,36-38,
GABINETE CON 12 SMD,RACK 3A,MXSGA1100024,,,,33-35,
PS1 (Fuente de Alimentación),RACK 3A,MXSFA1100075,,,,33-35,
PS2 (Fuente de Alimentación),RACK 3A,MXSFA1100081,,,,33-35,
SMD-1,RACK 3A,MXSTM1100214,,,,33-35,
SMD-2,RACK 3A,MXSTM1100161,,,,33-35,
SMD-3,RACK 3A,MXSTM1100165,,,,33-35,
